Source,Target,Weight
MAESTER_LUWIN,RICKON,4.0
MATTHOS,MELISANDRE,4.0
RICKARD_KARSTARK,TORRHEN,4.0
ROBB,YARA,4.0
STANNIS,VARYS,6.0
ALTON,TYRION,3.0
AMORY,JAQEN,3.0
AMORY,POLLIVER,3.0
ARYA,VISENYA,3.0
BLACK_LORREN,RODRIK,3.0
BRAN,JOFFREY,3.0
BRAN,WINTERFELL_SHEPHERD,3.0
BRONN,JANOS,3.0
BRONN,PODRICK,61.0
CERSEI,MANDON,3.0
CRASTER,EDDISON_TOLLETT,12.0
DAENERYS,MALAKKO,3.0
DAGMER,OSHA,3.0
DAGMER,RODRIK,3.0
FARLEN,THEON,3.0
GENDRY,MOUNTAIN,3.0
GENDRY,RORGE,3.0
HOT_PIE,JAQEN,3.0
HOT_PIE,MOUNTAIN,3.0
HOUND,SHAE,3.0
IRRI,KOVARRO,3.0
IRRI,XARO,3.0
JAIME,MATTHOS,3.0
JAIME,TORRHEN,3.0
JANOS,PODRICK,3.0
JAQEN,TYWIN,3.0
JOFFREY,TALISA,3.0
JORAH,SPICE_KING,3.0
KOVARRO,MALAKKO,3.0
KOVARRO,PYATT_PREE,3.0
LANCEL,STANNIS,3.0
LITTLEFINGER,ROBB,5.0
LITTLEFINGER,ROBIN,43.0
LORAS,PYCELLE,5.0
LORAS,TYWIN,20.0
MAESTER_LUWIN,PORTAN,3.0
MAESTER_LUWIN,WINTERFELL_SHEPHERD,3.0
MALAKKO,XARO,3.0
MANCE,LORD_OF_BONES,3.0
MOUNTAIN,POLLIVER,5.0
MYRCELLA,ROBIN,3.0
NED,YARA,3.0
PODRICK,PYCELLE,3.0
PODRICK,SHAE,8.0
PYATT_PREE,SPICE_KING,3.0
QUENT,ROBB,3.0
ROBB,SEPTON,3.0
RORGE,YOREN,3.0
SANSA,TYWIN,24.0
SHAE,TOMMEN,3.0
STANNIS,TYWIN,8.0
THEON,VARYS,14.0
TIMETT,TYRION,3.0
TOMMEN,TYRION,15.0
AEGON,ARYA,2.0
AERYS,PYCELLE,2.0
AERYS,TYWIN,2.0
ALTON,TALISA,2.0
AMORY,HOT_PIE,2.0
ARYA,KEVAN,2.0
ARYA,REGINALD,2.0
ARYA,RHAENYS,2.0
BALON,CATELYN,2.0
BARRA,JANOS,2.0
BENJEN,CRASTER,2.0
BILLY,RICKON,2.0
BITER,YOREN,2.0
BLACK_LORREN,MAESTER_LUWIN,2.0
BLACK_LORREN,OSHA,2.0
BOROS,JOFFREY,2.0
BRAN,SANSA,79.0
BRIENNE,COLEN,2.0
BRIENNE,DAVOS,35.0
BRIENNE,LITTLEFINGER,48.0
BRIENNE,MELISANDRE,12.0
BRIENNE,RICKARD_KARSTARK,2.0
BRONN,CERSEI,18.0
CATELYN,DAVOS,2.0
CATELYN,MELISANDRE,2.0
CATELYN,RICKON,4.0
CERSEI,DAVOS,6.0
CERSEI,HAYLENE,2.0
CERSEI,JOANNA,4.0
CERSEI,MATTHOS,2.0
CERSEI,SALLADHOR,2.0
COLEN,LORAS,2.0
COLEN,MARGAERY,2.0
COLEN,RENLY,2.0
CRASTER,MANCE,4.0
CRESSEN,MATTHOS,2.0
DAGMER,FARLEN,2.0
DAGMER,HODOR,2.0
DAGMER,YARA,2.0
DAVOS,FATHER_SEAWORTH,2.0
DAVOS,JOFFREY,2.0
DAVOS,LORAS,2.0
DAVOS,MARYA,2.0
DAVOS,ROBB,4.0
DAVOS,ROBERT,5.0
DONTOS,SANSA,32.0
EDDISON_TOLLETT,JEOR,8.0
FARLEN,RICKON,2.0
FREY_DAUGHTER,ROBB,2.0
GILLY,GRENN,2.0
HARREN,TYWIN,2.0
HAYLENE,PODRICK,2.0
HIGH_SEPTON,MYRCELLA,2.0
HOT_PIE,POLLIVER,2.0
HOT_PIE,TICKLER,2.0
HOUND,STANNIS,2.0
HOUND,TOMMEN,2.0
ILYN_PAYNE,LANCEL,2.0
ILYN_PAYNE,TOMMEN,2.0
